"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Occupied housing units","1,845,169","±11,483","1,845,169","(X)","251,651","±2,883","251,651","(X)","2,392,168","±11,611","2,392,168","(X)","1,143,859","±7,351","1,143,859","(X)","12,552,658","±18,433","12,552,658","(X)","1,996,088","±8,553","1,996,088","(X)","1,357,812","±6,453","1,357,812","(X)","340,308","±3,122","340,308","(X)","266,662","±3,138","266,662","(X)","7,197,943","±25,102","7,197,943","(X)","3,532,908","±15,691","3,532,908","(X)","447,748","±4,282","447,748","(X)","583,106","±5,317","583,106","(X)","4,770,194","±13,140","4,770,194","(X)","2,480,077","±10,833","2,480,077","(X)","1,227,048","±6,132","1,227,048","(X)","1,113,911","±5,555","1,113,911","(X)","1,707,004","±8,109","1,707,004","(X)","1,719,473","±9,205","1,719,473","(X)","554,543","±4,451","554,543","(X)","2,157,717","±7,667","2,157,717","(X)","2,522,394","±9,088","2,522,394","(X)","3,819,068","±10,789","3,819,068","(X)","2,111,943","±6,274","2,111,943","(X)","1,090,521","±7,826","1,090,521","(X)","2,359,135","±11,280","2,359,135","(X)","408,938","±3,977","408,938","(X)","733,570","±4,667","733,570","(X)","1,006,605","±7,913","1,006,605","(X)","519,137","±4,650","519,137","(X)","3,198,799","±8,893","3,198,799","(X)","764,996","±5,964","764,996","(X)","7,238,922","±16,375","7,238,922","(X)","3,731,325","±14,347","3,731,325","(X)","290,944","±2,708","290,944","(X)","4,554,672","±11,606","4,554,672","(X)","1,446,667","±5,298","1,446,667","(X)","1,516,957","±7,216","1,516,957","(X)","4,958,249","±11,531","4,958,249","(X)","413,083","±3,010","413,083","(X)","1,787,340","±9,096","1,787,340","(X)","323,765","±3,111","323,765","(X)","2,480,090","±11,146","2,480,090","(X)","8,970,959","±21,541","8,970,959","(X)","895,691","±5,044","895,691","(X)","258,520","±2,853","258,520","(X)","3,038,967","±13,344","3,038,967","(X)","2,636,817","±10,074","2,636,817","(X)","741,544","±5,473","741,544","(X)","2,288,362","±8,293","2,288,362","(X)","223,513","±2,812","223,513","(X)","1,263,694","±9,111","1,263,694","(X)"
"    Moved in 2010 or later","474,975","±9,453","25.7%","±0.5","81,989","±3,522","32.6%","±1.3","853,729","±11,297","35.7%","±0.5","328,896","±7,386","28.8%","±0.6","3,805,119","±24,346","30.3%","±0.2","648,840","±10,401","32.5%","±0.5","306,390","±7,236","22.6%","±0.5","80,955","±4,052","23.8%","±1.1","97,238","±3,810","36.5%","±1.2","2,136,560","±23,060","29.7%","±0.3","1,027,127","±15,949","29.1%","±0.4","127,765","±3,978","28.5%","±0.9","175,983","±6,377","30.2%","±1.0","1,167,687","±15,730","24.5%","±0.3","651,099","±10,556","26.3%","±0.4","308,563","±5,896","25.1%","±0.4","323,097","±5,746","29.0%","±0.5","430,951","±6,915","25.2%","±0.4","449,858","±10,151","26.2%","±0.5","124,031","±4,585","22.4%","±0.8","522,173","±10,128","24.2%","±0.5","594,567","±10,222","23.6%","±0.4","965,531","±14,230","25.3%","±0.4","526,138","±8,989","24.9%","±0.4","268,451","±7,245","24.6%","±0.6","652,998","±10,480","27.7%","±0.4","109,589","±4,480","26.8%","±1.0","207,632","±4,669","28.3%","±0.6","407,016","±8,462","40.4%","±0.7","115,671","±4,999","22.3%","±0.9","663,740","±13,204","20.7%","±0.4","196,194","±6,424","25.6%","±0.8","1,589,660","±18,792","22.0%","±0.2","1,015,024","±12,839","27.2%","±0.3","90,913","±3,811","31.2%","±1.2","1,130,507","±14,058","24.8%","±0.3","429,286","±5,648","29.7%","±0.4","455,276","±8,056","30.0%","±0.5","1,039,778","±12,416","21.0%","±0.3","103,931","±4,329","25.2%","±1.0","472,494","±11,115","26.4%","±0.6","92,209","±3,569","28.5%","±1.0","670,517","±11,916","27.0%","±0.5","2,864,265","±23,354","31.9%","±0.3","267,866","±5,678","29.9%","±0.6","56,422","±2,797","21.8%","±1.0","827,464","±12,898","27.2%","±0.4","790,442","±11,359","30.0%","±0.4","151,189","±5,637","20.4%","±0.7","564,663","±8,558","24.7%","±0.3","64,544","±3,173","28.9%","±1.3","196,365","±5,495","15.5%","±0.4"
"    Moved in 2000 to 2009","700,556","±10,390","38.0%","±0.5","99,188","±3,929","39.4%","±1.5","981,873","±13,512","41.0%","±0.5","454,906","±7,817","39.8%","±0.7","4,859,821","±28,392","38.7%","±0.2","817,415","±10,100","41.0%","±0.5","522,107","±8,699","38.5%","±0.6","141,618","±4,729","41.6%","±1.4","98,152","±3,734","36.8%","±1.4","3,013,308","±21,532","41.9%","±0.3","1,458,035","±17,981","41.3%","±0.5","156,406","±4,682","34.9%","±0.9","238,042","±6,210","40.8%","±1.0","1,897,672","±15,540","39.8%","±0.3","956,482","±12,442","38.6%","±0.5","471,020","±7,921","38.4%","±0.6","422,299","±6,523","37.9%","±0.6","675,871","±8,891","39.6%","±0.5","672,327","±10,544","39.1%","±0.5","209,243","±5,255","37.7%","±0.9","868,541","±11,511","40.3%","±0.5","960,270","±11,031","38.1%","±0.4","1,345,319","±12,987","35.2%","±0.3","802,619","±10,182","38.0%","±0.5","414,795","±8,707","38.0%","±0.7","918,281","±11,325","38.9%","±0.4","163,095","±4,733","39.9%","±1.1","280,650","±5,262","38.3%","±0.7","403,953","±7,825","40.1%","±0.8","206,474","±4,678","39.8%","±0.9","1,312,058","±14,621","41.0%","±0.4","307,343","±6,470","40.2%","±0.8","2,704,567","±20,395","37.4%","±0.3","1,486,933","±16,981","39.8%","±0.4","103,141","±4,003","35.5%","±1.3","1,709,262","±14,592","37.5%","±0.3","566,733","±7,364","39.2%","±0.4","629,391","±10,131","41.5%","±0.6","1,826,303","±16,553","36.8%","±0.3","152,149","±4,125","36.8%","±1.0","694,334","±10,370","38.8%","±0.6","123,515","±3,609","38.1%","±1.1","981,688","±13,015","39.6%","±0.5","3,650,380","±22,823","40.7%","±0.2","374,377","±6,396","41.8%","±0.7","93,964","±3,276","36.3%","±1.2","1,211,007","±14,666","39.8%","±0.4","1,083,448","±12,825","41.1%","±0.4","268,221","±6,132","36.2%","±0.8","886,038","±8,463","38.7%","±0.3","86,342","±3,485","38.6%","±1.5","414,284","±8,927","32.8%","±0.7"
"    Moved in 1990 to 1999","310,231","±7,798","16.8%","±0.4","37,318","±2,345","14.8%","±0.9","339,266","±8,141","14.2%","±0.3","180,383","±5,642","15.8%","±0.5","1,971,015","±18,128","15.7%","±0.1","302,176","±7,534","15.1%","±0.4","232,105","±5,654","17.1%","±0.4","57,178","±2,914","16.8%","±0.9","28,934","±2,098","10.9%","±0.8","1,205,055","±14,788","16.7%","±0.2","551,412","±9,806","15.6%","±0.3","65,738","±3,000","14.7%","±0.7","91,188","±3,661","15.6%","±0.6","835,759","±10,062","17.5%","±0.2","414,232","±7,938","16.7%","±0.3","202,715","±5,282","16.5%","±0.4","180,822","±5,039","16.2%","±0.4","289,391","±6,147","17.0%","±0.3","269,162","±6,762","15.7%","±0.4","99,817","±3,615","18.0%","±0.6","369,852","±7,344","17.1%","±0.3","439,354","±9,008","17.4%","±0.3","705,638","±9,293","18.5%","±0.2","380,518","±6,653","18.0%","±0.3","182,229","±5,457","16.7%","±0.5","393,067","±7,685","16.7%","±0.3","65,895","±3,152","16.1%","±0.7","111,282","±4,034","15.2%","±0.5","134,599","±4,417","13.4%","±0.4","95,649","±3,747","18.4%","±0.7","574,569","±10,206","18.0%","±0.3","130,191","±4,273","17.0%","±0.6","1,298,379","±16,514","17.9%","±0.2","597,490","±10,130","16.0%","±0.3","43,632","±2,119","15.0%","±0.8","774,117","±10,393","17.0%","±0.2","213,052","±4,398","14.7%","±0.3","233,735","±6,062","15.4%","±0.4","854,425","±11,249","17.2%","±0.2","70,364","±3,522","17.0%","±0.8","298,419","±7,803","16.7%","±0.4","51,832","±2,797","16.0%","±0.8","404,678","±9,054","16.3%","±0.4","1,280,400","±15,903","14.3%","±0.2","130,219","±4,551","14.5%","±0.5","47,294","±2,268","18.3%","±0.9","473,256","±8,575","15.6%","±0.3","409,694","±8,085","15.5%","±0.3","132,582","±4,791","17.9%","±0.6","403,239","±6,099","17.6%","±0.3","33,106","±2,131","14.8%","±0.9","233,509","±6,874","18.5%","±0.5"
"    Moved in 1980 to 1989","151,966","±4,617","8.2%","±0.3","20,986","±1,774","8.3%","±0.7","125,066","±4,885","5.2%","±0.2","83,104","±4,393","7.3%","±0.4","946,575","±12,226","7.5%","±0.1","114,603","±4,356","5.7%","±0.2","130,655","±4,436","9.6%","±0.3","29,103","±1,868","8.6%","±0.6","17,838","±1,841","6.7%","±0.7","507,009","±10,374","7.0%","±0.1","246,994","±7,190","7.0%","±0.2","40,138","±2,137","9.0%","±0.5","38,406","±2,374","6.6%","±0.4","392,953","±6,795","8.2%","±0.1","197,866","±6,098","8.0%","±0.2","100,585","±3,980","8.2%","±0.3","84,788","±3,693","7.6%","±0.3","132,744","±4,502","7.8%","±0.3","135,687","±4,888","7.9%","±0.3","56,671","±2,536","10.2%","±0.5","191,105","±5,531","8.9%","±0.3","223,461","±5,401","8.9%","±0.2","348,398","±6,773","9.1%","±0.2","193,410","±5,106","9.2%","±0.2","99,430","±3,977","9.1%","±0.4","181,787","±5,146","7.7%","±0.2","34,618","±2,091","8.5%","±0.5","59,397","±2,377","8.1%","±0.3","38,191","±2,969","3.8%","±0.3","56,453","±3,137","10.9%","±0.6","294,173","±7,166","9.2%","±0.2","61,391","±3,069","8.0%","±0.4","718,713","±11,677","9.9%","±0.2","276,410","±6,529","7.4%","±0.2","22,635","±1,687","7.8%","±0.6","384,163","±6,949","8.4%","±0.1","112,461","±3,666","7.8%","±0.3","100,756","±3,702","6.6%","±0.3","497,114","±9,485","10.0%","±0.2","34,363","±2,602","8.3%","±0.6","143,246","±5,022","8.0%","±0.3","26,055","±1,789","8.0%","±0.5","190,384","±5,448","7.7%","±0.2","556,771","±10,041","6.2%","±0.1","50,408","±2,481","5.6%","±0.3","32,351","±1,755","12.5%","±0.7","251,766","±6,178","8.3%","±0.2","182,803","±5,725","6.9%","±0.2","76,940","±3,278","10.4%","±0.4","188,231","±4,474","8.2%","±0.2","19,285","±1,736","8.6%","±0.8","160,256","±5,602","12.7%","±0.4"
"    Moved in 1970 to 1979","116,355","±3,522","6.3%","±0.2","9,379","±1,084","3.7%","±0.4","60,790","±3,470","2.5%","±0.1","55,981","±2,618","4.9%","±0.2","590,763","±9,880","4.7%","±0.1","70,544","±2,862","3.5%","±0.1","83,443","±3,606","6.1%","±0.3","16,387","±1,531","4.8%","±0.4","13,165","±1,341","4.9%","±0.5","220,321","±6,052","3.1%","±0.1","145,812","±4,445","4.1%","±0.1","29,979","±2,026","6.7%","±0.4","25,633","±2,063","4.4%","±0.4","265,742","±5,653","5.6%","±0.1","141,376","±4,213","5.7%","±0.2","79,397","±2,575","6.5%","±0.2","57,834","±2,396","5.2%","±0.2","103,177","±3,970","6.0%","±0.2","106,788","±4,048","6.2%","±0.2","36,399","±2,379","6.6%","±0.4","112,949","±3,727","5.2%","±0.2","151,083","±4,630","6.0%","±0.2","249,545","±5,338","6.5%","±0.1","117,533","±3,343","5.6%","±0.2","72,934","±3,176","6.7%","±0.3","120,860","±4,458","5.1%","±0.2","22,473","±1,577","5.5%","±0.4","42,770","±1,984","5.8%","±0.3","15,538","±1,582","1.5%","±0.2","26,179","±2,148","5.0%","±0.4","184,990","±4,559","5.8%","±0.1","39,176","±2,708","5.1%","±0.4","504,332","±8,449","7.0%","±0.1","189,976","±4,628","5.1%","±0.1","17,718","±1,208","6.1%","±0.4","294,880","±6,481","6.5%","±0.1","76,626","±2,747","5.3%","±0.2","64,528","±2,963","4.3%","±0.2","360,484","±6,898","7.3%","±0.1","26,371","±2,048","6.4%","±0.5","97,390","±3,704","5.4%","±0.2","17,322","±1,500","5.4%","±0.5","128,819","±4,034","5.2%","±0.2","376,342","±8,234","4.2%","±0.1","43,017","±2,082","4.8%","±0.2","15,446","±1,161","6.0%","±0.4","156,096","±5,217","5.1%","±0.2","106,204","±3,790","4.0%","±0.1","61,530","±2,808","8.3%","±0.4","136,858","±3,803","6.0%","±0.2","12,487","±1,622","5.6%","±0.7","146,766","±5,481","11.6%","±0.4"
"    Moved in 1969 or earlier","91,086","±3,330","4.9%","±0.2","2,791","±687","1.1%","±0.3","31,444","±2,160","1.3%","±0.1","40,589","±2,241","3.5%","±0.2","379,365","±7,591","3.0%","±0.1","42,510","±2,219","2.1%","±0.1","83,112","±3,363","6.1%","±0.2","15,067","±1,319","4.4%","±0.4","11,335","±1,302","4.3%","±0.5","115,690","±4,345","1.6%","±0.1","103,528","±4,800","2.9%","±0.1","27,722","±1,936","6.2%","±0.4","13,854","±1,404","2.4%","±0.2","210,381","±5,115","4.4%","±0.1","119,022","±3,599","4.8%","±0.1","64,768","±2,273","5.3%","±0.2","45,071","±2,169","4.0%","±0.2","74,870","±3,072","4.4%","±0.2","85,651","±3,474","5.0%","±0.2","28,382","±2,180","5.1%","±0.4","93,097","±3,415","4.3%","±0.2","153,659","±4,540","6.1%","±0.2","204,637","±4,342","5.4%","±0.1","91,725","±2,799","4.3%","±0.1","52,682","±3,112","4.8%","±0.3","92,142","±3,918","3.9%","±0.2","13,268","±1,082","3.2%","±0.3","31,839","±1,847","4.3%","±0.2","7,308","±1,144","0.7%","±0.1","18,711","±1,794","3.6%","±0.3","169,269","±4,445","5.3%","±0.1","30,701","±2,104","4.0%","±0.3","423,271","±8,014","5.8%","±0.1","165,492","±4,961","4.4%","±0.1","12,905","±1,057","4.4%","±0.4","261,743","±5,573","5.7%","±0.1","48,509","±2,160","3.4%","±0.1","33,271","±2,392","2.2%","±0.2","380,145","±6,511","7.7%","±0.1","25,905","±2,089","6.3%","±0.5","81,457","±3,799","4.6%","±0.2","12,832","±1,112","4.0%","±0.3","104,004","±3,449","4.2%","±0.1","242,801","±6,937","2.7%","±0.1","29,804","±1,888","3.3%","±0.2","13,043","±1,205","5.0%","±0.5","119,378","±4,081","3.9%","±0.1","64,226","±3,185","2.4%","±0.1","51,082","±2,588","6.9%","±0.3","109,333","±3,157","4.8%","±0.1","7,749","±1,253","3.5%","±0.6","112,514","±4,259","8.9%","±0.3"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","1,845,169","±11,483","1,845,169","(X)","251,651","±2,883","251,651","(X)","2,392,168","±11,611","2,392,168","(X)","1,143,859","±7,351","1,143,859","(X)","12,552,658","±18,433","12,552,658","(X)","1,996,088","±8,553","1,996,088","(X)","1,357,812","±6,453","1,357,812","(X)","340,308","±3,122","340,308","(X)","266,662","±3,138","266,662","(X)","7,197,943","±25,102","7,197,943","(X)","3,532,908","±15,691","3,532,908","(X)","447,748","±4,282","447,748","(X)","583,106","±5,317","583,106","(X)","4,770,194","±13,140","4,770,194","(X)","2,480,077","±10,833","2,480,077","(X)","1,227,048","±6,132","1,227,048","(X)","1,113,911","±5,555","1,113,911","(X)","1,707,004","±8,109","1,707,004","(X)","1,719,473","±9,205","1,719,473","(X)","554,543","±4,451","554,543","(X)","2,157,717","±7,667","2,157,717","(X)","2,522,394","±9,088","2,522,394","(X)","3,819,068","±10,789","3,819,068","(X)","2,111,943","±6,274","2,111,943","(X)","1,090,521","±7,826","1,090,521","(X)","2,359,135","±11,280","2,359,135","(X)","408,938","±3,977","408,938","(X)","733,570","±4,667","733,570","(X)","1,006,605","±7,913","1,006,605","(X)","519,137","±4,650","519,137","(X)","3,198,799","±8,893","3,198,799","(X)","764,996","±5,964","764,996","(X)","7,238,922","±16,375","7,238,922","(X)","3,731,325","±14,347","3,731,325","(X)","290,944","±2,708","290,944","(X)","4,554,672","±11,606","4,554,672","(X)","1,446,667","±5,298","1,446,667","(X)","1,516,957","±7,216","1,516,957","(X)","4,958,249","±11,531","4,958,249","(X)","413,083","±3,010","413,083","(X)","1,787,340","±9,096","1,787,340","(X)","323,765","±3,111","323,765","(X)","2,480,090","±11,146","2,480,090","(X)","8,970,959","±21,541","8,970,959","(X)","895,691","±5,044","895,691","(X)","258,520","±2,853","258,520","(X)","3,038,967","±13,344","3,038,967","(X)","2,636,817","±10,074","2,636,817","(X)","741,544","±5,473","741,544","(X)","2,288,362","±8,293","2,288,362","(X)","223,513","±2,812","223,513","(X)","1,263,694","±9,111","1,263,694","(X)"
"    No vehicles available","123,408","±4,841","6.7%","±0.3","23,947","±1,604","9.5%","±0.6","167,107","±5,320","7.0%","±0.2","76,017","±4,041","6.6%","±0.3","990,919","±14,322","7.9%","±0.1","114,432","±4,596","5.7%","±0.2","123,193","±4,602","9.1%","±0.3","21,536","±2,207","6.3%","±0.6","101,002","±4,300","37.9%","±1.5","529,687","±11,911","7.4%","±0.2","243,385","±6,336","6.9%","±0.2","37,417","±2,575","8.4%","±0.6","25,723","±2,491","4.4%","±0.4","525,981","±10,030","11.0%","±0.2","176,160","±6,145","7.1%","±0.2","68,583","±4,041","5.6%","±0.3","60,487","±3,035","5.4%","±0.3","131,925","±5,444","7.7%","±0.3","143,194","±5,956","8.3%","±0.3","39,192","±2,602","7.1%","±0.5","206,893","±5,587","9.6%","±0.3","320,467","±6,475","12.7%","±0.3","311,025","±5,483","8.1%","±0.1","146,778","±4,644","6.9%","±0.2","75,248","±3,272","6.9%","±0.3","183,165","±6,001","7.8%","±0.3","22,633","±2,463","5.5%","±0.6","42,967","±2,584","5.9%","±0.3","82,960","±3,954","8.2%","±0.4","28,493","±2,777","5.5%","±0.5","379,617","±8,042","11.9%","±0.2","43,664","±3,136","5.7%","±0.4","2,156,434","±17,614","29.8%","±0.2","249,415","±7,008","6.7%","±0.2","15,495","±1,683","5.3%","±0.6","382,518","±7,976","8.4%","±0.2","83,371","±2,616","5.8%","±0.2","125,428","±6,460","8.3%","±0.4","573,246","±10,310","11.6%","±0.2","41,179","±3,058","10.0%","±0.8","126,468","±4,799","7.1%","±0.3","14,892","±1,441","4.6%","±0.4","158,205","±5,752","6.4%","±0.2","523,150","±12,088","5.8%","±0.1","41,539","±2,698","4.6%","±0.3","17,009","±1,684","6.6%","±0.7","193,985","±6,382","6.4%","±0.2","181,681","±6,197","6.9%","±0.2","65,431","±3,260","8.8%","±0.4","165,627","±4,959","7.2%","±0.2","7,153","±1,238","3.2%","±0.6","207,859","±5,363","16.4%","±0.4"
"    1 vehicle available","615,424","±11,042","33.4%","±0.6","84,372","±3,268","33.5%","±1.3","918,170","±11,570","38.4%","±0.5","395,650","±8,176","34.6%","±0.7","4,094,587","±22,514","32.6%","±0.2","636,483","±10,214","31.9%","±0.5","445,808","±9,773","32.8%","±0.7","112,223","±4,108","33.0%","±1.2","116,662","±3,933","43.7%","±1.5","3,037,757","±23,160","42.2%","±0.3","1,222,240","±15,583","34.6%","±0.4","160,099","±4,681","35.8%","±1.0","160,064","±6,104","27.5%","±1.0","1,673,915","±16,267","35.1%","±0.3","812,894","±10,301","32.8%","±0.4","370,310","±6,860","30.2%","±0.5","346,142","±7,392","31.1%","±0.7","579,898","±9,892","34.0%","±0.6","656,619","±11,167","38.2%","±0.6","191,916","±4,880","34.6%","±0.9","719,117","±10,380","33.3%","±0.5","912,419","±10,864","36.2%","±0.4","1,348,112","±12,658","35.3%","±0.3","639,175","±8,993","30.3%","±0.4","379,892","±8,049","34.8%","±0.7","793,901","±9,839","33.7%","±0.4","119,255","±4,719","29.2%","±1.1","218,353","±5,061","29.8%","±0.7","367,414","±7,894","36.5%","±0.7","161,703","±5,667","31.1%","±1.0","1,108,752","±13,595","34.7%","±0.4","260,257","±5,821","34.0%","±0.7","2,372,290","±19,104","32.8%","±0.3","1,235,313","±15,816","33.1%","±0.4","83,205","±4,124","28.6%","±1.4","1,576,701","±15,079","34.6%","±0.3","488,141","±7,298","33.7%","±0.5","493,776","±9,032","32.6%","±0.6","1,704,204","±15,819","34.4%","±0.3","154,545","±5,669","37.4%","±1.3","621,581","±10,126","34.8%","±0.5","97,619","±3,627","30.2%","±1.1","827,970","±11,046","33.4%","±0.4","3,107,564","±24,722","34.6%","±0.3","240,179","±6,716","26.8%","±0.7","85,270","±3,420","33.0%","±1.2","925,409","±12,763","30.5%","±0.4","825,763","±13,137","31.3%","±0.5","271,240","±6,268","36.6%","±0.7","742,083","±9,256","32.4%","±0.4","62,547","±3,582","28.0%","±1.6","565,239","±7,421","44.7%","±0.6"
